iter	Passed	Remaining
0	1	106
1	1	88
2	2	78
3	2	71
4	3	69
5	4	66
6	4	64
7	5	62
8	6	61
9	6	60
10	7	59
11	7	58
12	8	57
13	9	55
14	9	54
15	10	53
16	10	52
17	11	52
18	12	51
19	12	50
20	13	50
21	14	49
22	14	48
23	15	48
24	15	47
25	16	46
26	16	45
27	17	44
28	18	44
29	18	43
30	19	42
31	19	42
32	20	41
33	20	40
34	21	40
35	22	39
36	22	38
37	23	38
38	24	37
39	24	36
40	25	36
41	25	35
42	26	34
43	26	33
44	27	33
45	27	32
46	28	32
47	28	31
48	29	30
49	30	30
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	36	23
61	37	22
62	38	22
63	38	21
64	39	21
65	39	20
66	40	19
67	40	19
68	41	18
69	42	18
70	42	17
71	43	16
72	43	16
73	44	15
74	45	15
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	51	9
85	51	8
86	52	7
87	52	7
88	53	6
89	54	6
90	54	5
91	55	4
92	55	4
93	56	3
94	57	3
95	57	2
96	58	1
97	58	1
98	59	0
99	60	0
